Concept Level 1,CCSS Standard,Question UID,Answers,Prompt
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjIO_nKvLvfTWLn,"[{""text""=>""Reading too much on a computer {bothers} my eyes.""}]",Reading too much on a computer <u>to bother</u> my eyes.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJK,"[{""text""=>""I had trouble {opening} the pickle jar.""}]",I had trouble <u>to open</u> the pickle jar.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJL,"[{""text""=>""I enjoy {eating} sandwiches with potato chips inside.""}]",I enjoy <u>to eat</u> sandwiches with potato chips inside.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJM,"[{""text""=>""Have you ever {played} chess?""}]",Have you ever <u>to play</u> chess?
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJN,"[{""text""=>""{John drove the racecar}.""}]",The racecar was driven by John.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJO,"[{""text""=>""{The gardener removed the bees' nest}.""}]",The bees' nest was removed by the gardener.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJP,"[{""text""=>""{The cashier rang up my groceries}.""}]",My groceries were rang up by the cashier.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJQ,"[{""text""=>""{April showers bring May flowers}.""}]",May flowers are brought by April showers.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJR,"[{""text""=>""{The construction worker laid the bricks}.""}]",The bricks were laid by the construction worker.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJS,"[{""text""=>""{Curiosity killed the cat}.""}]",The cat was killed by curiosity.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJT,"[{""text""=>""{A rolling stone gathers no moss}.""}]",No moss is gathered by a rolling stone.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJU,"[{""text""=>""{An apple a day keeps the doctor away}.""}]",The doctor is kept away by an an apple a day.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJW,"[{""text""=>""My toe {was bruised} yesterday after I stubbed it.""}]",My toe <u>to be bruised</u> yesterday after I stubbed it.
